sourceId,slug,company,title,summary,body,perkType,amountDisplay,creditValueUsd,currency,eligibility,fundingStages,regions,categories,applyUrl,sourceUrl,lastVerified,verified,isActive,featured,partnerOnly,sortOrder
mailgun-for-startups,mailgun-for-startups,Mailgun,Mailgun startup email credits,Mailgun startup programs can include credits or discounted messaging plans for product and transactional email.,Offer specifics vary by route and campaign period. Confirm current startup credit terms before applying.,credit,Email sending credits (program-dependent),,,Early-stage startups in approved partner networks or startup programs.,Pre-seed | Seed | Series A,Global,Marketing | Developer Tools,https://www.mailgun.com/,https://www.mailgun.com/,2026-02-06,false,true,false,false,
mercury-perks,mercury-perks,Mercury,Mercury Startup Perks,"Curated deals and perk bundles for startups. Banking, credit, and software discounts.","Mercury provides curated deals and perk bundles for startups at every stage. Access exclusive credits and discounts on software, systems, and more that help you move faster and smarter. Includes deals from Superhuman, GitHub, and other top tools.",discount,Various perk bundles,5000,,Mercury account holders. Startups building products.,Pre-seed | Seed | Series A | Series B,Global,Finance | Banking,https://mercury.com/perks,https://mercury.com/perks,2026-02-14,false,true,false,false,
microsoft-founders-hub,microsoft-founders-hub,Microsoft,Microsoft for Startups Founders Hub credits,Microsoft for Startups Founders Hub includes Azure credits and startup enablement support across multiple growth stages.,Benefits are milestone-based and may change. Double check the current credit progression before relying on a specific amount.,credit,"Up to $150,000 in Azure credits",150000,USD,"Startups building software products, with benefits generally increasing as the startup reaches later milestones.",Bootstrapped | Pre-seed | Seed | Series A,Global,Cloud | AI | Developer Tools,https://portal.startups.microsoft.com/,https://portal.startups.microsoft.com/,2026-02-05,true,true,false,false,
miro-for-startups,miro-for-startups,Miro,Miro for Startups collaboration plans,Miro startup programs can include free periods or discounted team plans for product collaboration.,Benefit terms can change by region and partner. Confirm current startup offer details before selecting plans.,trial,Free Team or Business plan period (program-dependent),,,Early-stage startups through startup ecosystem partnerships or approved direct programs.,Pre-seed | Seed | Series A,Global,Collaboration | Productivity,https://miro.com/startups/,https://miro.com/,2026-02-06,false,true,false,false,
mistral-ai-ambassador,mistral-ai-ambassador,Mistral AI,Mistral AI Ambassador Program,Free API credits and early access for startups building with Mistral models. Six-month ambassador program with VIP recognition.,"Mistral AI Ambassador Program provides equity-free benefits including free API credits, early access to new features, and VIP recognition. Six-month program for AI builders.",credit,Free API credits + early access,5000,,Startups building AI applications with Mistral models and interested in joining the ambassador program.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://mistral.ai/,https://mistral.ai/,2026-02-14,false,true,false,false,
mixpanel-for-startups,mixpanel-for-startups,Mixpanel,Mixpanel for Startups analytics credits,Mixpanel startup offerings can provide growth plan credits or discounted analytics access for early-stage teams.,Program scope may vary by region and plan. Verify active startup benefit details with Mixpanel.,mixed,Free Growth plan credits (program-dependent),,,"Qualifying startups via startup programs, partner networks, or direct eligibility checks.",Pre-seed | Seed | Series A,Global,Analytics | Product,https://mixpanel.com/home/,https://mixpanel.com/home/,2026-02-06,false,true,false,false,
modal-startup,modal-startup,Modal,Modal startup program,Serverless GPU credits for AI startups. Modal provides on-demand compute for training and inference without infrastructure management.,"Modal offers serverless GPU compute for AI startups. Pay only for what you use with no idle costs. Startups can deploy models, run training jobs, and scale inference without managing infrastructure.",credit,GPU compute credits,25000,,AI startups building serverless machine learning applications.,Pre-seed | Seed | Series A,Global,AI | Cloud | Developer Tools,https://modal.com/pricing,https://modal.com/pricing,2026-02-14,true,true,false,false,
mongodb-for-startups,mongodb-for-startups,MongoDB,MongoDB for Startups database credits,MongoDB startup initiatives may provide credits and technical support for teams building on MongoDB Atlas.,Credit levels and terms may vary by program cohort. Confirm current startup package details on official MongoDB channels.,credit,"Up to $3,000 in credits (program-dependent)",3000,USD,"Early-stage startups, often via startup partner ecosystems or accelerator networks.",Pre-seed | Seed | Series A,Global,Database | Cloud,https://www.mongodb.com/,https://www.mongodb.com/,2026-02-06,false,true,false,false,
mux-startup,mux-startup,Mux,Mux for Startups,"$500 in free video credits. Build video into your app in minutes, not months.","Mux is video infrastructure that enables developers to build on-demand and live video into any site or app. Startups get $500 in credits to start, with more available through Y Combinator, Andreessen Horowitz, Techstars and other leading VCs.",credit,$500 credits (more via accelerators),500,,Early-stage startups building video applications.,Pre-seed | Seed | Series A,Global,Video | Media,https://mux.com/startups,https://mux.com/startups,2026-02-14,false,true,false,false,
neon-for-startups,neon-for-startups,Neon,Neon for Startups Postgres credits,Neon startup initiatives can offer Postgres credits and support for early-stage application teams.,Credit limits and qualification rules can vary. Confirm current startup package details before onboarding.,credit,Postgres credits (program-dependent),,,Early-stage startups via startup ecosystem partners and direct startup pathways.,Pre-seed | Seed | Series A,Global,Database | Cloud,https://neon.com/startups,https://neon.com/,2026-02-06,false,true,false,false,
newrelic-freetier,newrelic-freetier,New Relic,New Relic Free Tier,100GB data ingest free every month. Full platform access with one full platform user.,"New Relic offers the industry's most generous free tier: 100GB data ingest free per month forever, with access to all 50+ platform capabilities including APM with tracing and logs. One full platform user included with unlimited basic users.",credit,100GB free per month,12000,,Any startup needing application performance monitoring and observability.,Pre-seed | Seed | Series A | Series B,Global,Analytics | Monitoring | DevOps,https://newrelic.com/pricing/free-tier,https://newrelic.com/pricing/free-tier,2026-02-14,false,true,false,false,
notion-for-startups,notion-for-startups,Notion,Notion for Startups workspace credits,Notion for Startups provides product credits and discounted plans for startups accepted through partner communities.,"This program is usually offered as free months or credits for selected plans, not direct cash. Confirm the exact plan details before applying.",credit,Up to 6 months free on eligible plans,,,"Early-stage startups in approved incubators, accelerators, and venture partner ecosystems.",Bootstrapped | Pre-seed | Seed,Global,Productivity | Collaboration,https://www.notion.com/startups,https://www.notion.com/startups,2026-02-05,true,true,false,false,
openai-startup-credits,openai-startup-credits,OpenAI,OpenAI startup credits via partner programs,OpenAI startup benefits are commonly distributed through partner ecosystems and accelerator programs.,There is no single universal startup package; benefit amounts vary by accelerator and partner route.,credit,Credits vary by program and partner,,,Startups accepted into partner programs that include OpenAI credits or discounts.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://openai.com/,https://openai.com/,2026-02-06,false,true,false,false,
oracle-cloud-startup,oracle-cloud-startup,Oracle Cloud,Oracle for Startups,Cloud credits and mentorship for startups. Build on Oracle's global cloud infrastructure.,"Oracle for Startups provides cloud credits, technical mentorship, and access to Oracle's global infrastructure. Build powerful applications with enterprise-grade database and cloud services.",credit,Credits vary,10000,,Early-stage startups building on cloud infrastructure.,Pre-seed | Seed | Series A,Global,Cloud | Database | Infrastructure,https://www.oracle.com/cloud/oracle-for-startups/,https://www.oracle.com/cloud/oracle-for-startups/,2026-02-14,false,true,false,false,
ovhcloud-startup,ovhcloud-startup,OVHcloud,OVHcloud Startup Program,"€10,000-100,000 in cloud credits for startups. Global program since 2015 with 9000+ applications received.","OVHcloud Startup Program provides free public cloud credits, technical consultations, visibility, access to market and funding events, and mentoring. Over 2900 startups have been assisted since 2015.",credit,"€10,000-100,000 credits",15000,EUR,"Early-stage startups building on cloud infrastructure. START level for pre-seed/seed, SCALE level for Series A.",Pre-seed | Seed | Series A | Series B,Global | Europe,Cloud | Infrastructure,https://us.ovhcloud.com/startup-program/,https://us.ovhcloud.com/startup-program/,2026-02-14,false,true,false,false,
phrase-startup,phrase-startup,Phrase,Phrase for Startups,Enterprise localization platform for startups. Scale localization without seat limits or vendor lock-in.,Phrase provides a flexible localization platform with product capacities that scale with your team. All pricing plans come with a 14-day free trial. Perfect for startups expanding to international markets.,discount,Startup pricing,2000,,Early-stage startups scaling globally.,Pre-seed | Seed | Series A,Global,Localization,https://phrase.com/pricing/,https://phrase.com/pricing/,2026-02-14,false,true,false,false,
pinecone-for-startups,pinecone-for-startups,Pinecone,Pinecone for Startups vector database credits,Pinecone startup initiatives can include credits and onboarding support for vector database workloads.,Credits and limits vary by program and region. Verify current startup package terms with Pinecone.,credit,Vector database credits (program-dependent),,,Early-stage startups via startup ecosystem partners or direct startup tracks.,Pre-seed | Seed | Series A,Global,AI | Database,https://www.pinecone.io/,https://www.pinecone.io/,2026-02-06,false,true,false,false,
plaid-for-startups,plaid-for-startups,Plaid,Plaid for Startups API credits and fee support,Plaid startup programs can provide API credits and pricing support for eligible fintech product teams.,Pricing support and credits can vary by product and geography. Confirm current startup program details with Plaid.,mixed,API credits and reduced fees (program-dependent),,,Early-stage startups that qualify via direct or partner startup channels.,Pre-seed | Seed | Series A,United States | Global,Fintech | Developer Tools,https://plaid.com/,https://plaid.com/,2026-02-06,false,true,false,false,
planetscale-for-startups,planetscale-for-startups,PlanetScale,PlanetScale for Startups database credits,PlanetScale startup offerings can include credits and support for production database workloads.,Credits and eligibility can change by partner route. Confirm current terms directly with PlanetScale.,credit,Database credits (program-dependent),,,Early-stage startups through startup partner channels and approved ecosystems.,Pre-seed | Seed | Series A,Global,Database | Developer Tools,https://planetscale.com/startups,https://planetscale.com/,2026-02-06,false,true,false,false,
posthog-for-startups,posthog-for-startups,PostHog,PostHog for Startups product analytics credits,PostHog startup programs can provide usage credits and discounted access for early-stage product teams.,Program limits and qualification criteria can change. Validate current credit terms on official PostHog channels.,credit,"Up to $50,000 in credits (program-dependent)",50000,USD,"Early startups, commonly through startup partner ecosystems.",Pre-seed | Seed | Series A,Global,Analytics | Developer Tools,https://posthog.com/handbook/brand/startups,https://posthog.com/,2026-02-06,false,true,false,false,
postmark-startup,postmark-startup,Postmark,Postmark for Startups,Transactional email delivery for startups. Reliable email with no upcharges.,"Postmark provides transactional email delivery with no upcharges. Every plan includes great deliverability, fast support, and reliable infrastructure. No upselling to higher plans or dedicated IPs to improve deliverability.",credit,Startup pricing,1000,,Early-stage startups needing transactional email delivery.,Pre-seed | Seed | Series A,Global,Email | Developer Tools,https://postmarkapp.com/,https://postmarkapp.com/,2026-02-14,false,true,false,false,
ramp-for-startups,ramp-for-startups,Ramp,Ramp for Startups rewards and partner discounts,Ramp startup programs can include account rewards and ecosystem discounts across software vendors.,Offer composition can change by campaign and account profile. Confirm current startup benefits directly with Ramp.,mixed,Credits and SaaS discounts via partner network,,,Eligible startups opening qualifying Ramp accounts and meeting program requirements.,Pre-seed | Seed | Series A | Series B,United States,Fintech | Payments,https://ramp.com/startups,https://ramp.com/startups,2026-02-06,false,true,false,false,
render-for-startups,render-for-startups,Render,Render for Startups platform credits,Render startup initiatives can provide credits and onboarding support for deploying and operating cloud applications.,Credit levels can vary by cohort and period. Verify current Render startup offer details before applying.,credit,Platform credits (program-dependent),,,Early-stage startups accepted through startup channels or partner referrals.,Bootstrapped | Pre-seed | Seed,Global,Cloud | Developer Tools,https://render.com/,https://render.com/,2026-02-06,false,true,false,false,
replicate-startup,replicate-startup,Replicate,Replicate startup credits,Credits for running open-source machine learning models. Replicate makes it easy to deploy and scale ML models.,Replicate lets startups run open-source models with a single line of code. Scale from prototype to production without managing infrastructure. Access hundreds of state-of-the-art models.,credit,Credits vary,5000,,Startups building with open-source machine learning models.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://replicate.com/,https://replicate.com/,2026-02-14,false,true,false,false,
replit-startup,replit-startup,Replit,Replit for Startups,"Free Replit Teams for startups. Build, test, and deploy applications directly from your browser.","Replit provides a cloud-native development environment where startups can build, test, and deploy applications directly from their browser. Get access to powerful development tools without needing complex local setup.",credit,Free Teams plan,3000,,Early-stage startups building software applications.,Pre-seed | Seed | Series A,Global,Developer Tools | Cloud,https://replit.com/pricing,https://replit.com/pricing,2026-02-14,false,true,false,false,
retool-for-startups,retool-for-startups,Retool,Retool for Startups developer credits,Retool startup offerings may include credits or plan discounts for internal tool development.,Program terms vary and may change over time. Confirm active startup plan details directly with Retool.,credit,"Up to $60,000 in credits (program-dependent)",60000,USD,Early-stage startups in partner ecosystems or approved startup channels.,Pre-seed | Seed | Series A,Global,Developer Tools | Productivity,https://retool.com/startups,https://retool.com/,2026-02-06,false,true,false,false,
rippling-startup,rippling-startup,Rippling,Rippling for Startups,"6 months free for accelerator startups. All-in-one platform for HR, IT, and Spend management.","Rippling gives accelerator startups 6 months free on their all-in-one platform for HR, IT, and Spend. Run payroll, manage benefits, handle IT, and track expenses in one system. Over 15,000 startups run on Rippling.",credit,6 months free (via accelerators),6000,,"Startups accepted into participating accelerators (Y Combinator, 500 Global, Plug and Play, First Round, etc.)",Pre-seed | Seed | Series A,Global,HR | Operations,https://www.rippling.com/,https://www.rippling.com/,2026-02-14,false,true,false,false,
salesforce-startup,salesforce-startup,Salesforce,Salesforce for Startups,Enterprise CRM for startups. Build customer relationships with Salesforce's powerful CRM platform.,"Salesforce for Startups provides access to their powerful CRM platform at startup-friendly pricing. Build customer relationships, manage sales pipelines, and scale your business with enterprise-grade CRM tools.",discount,Startup pricing,5000,,Early-stage startups needing CRM and customer management tools.,Pre-seed | Seed | Series A,Global,CRM | Sales | Marketing,https://www.salesforce.com/startups/,https://www.salesforce.com/startups/,2026-02-14,false,true,false,false,
scaleway-startup,scaleway-startup,Scaleway,Scaleway Startup Program,"Up to €36,000 in cloud credits for startups. Join 2400+ startups in the Scaleway community.","Scaleway Startup Program offers up to €36,000 cost-coverage for cloud services, free consulting support from solution architects, and access to a community of 2400+ startups. No matter your startup stage, Scaleway provides the program that fits your needs.",credit,"€36,000 credits",36000,EUR,Early-stage startups building on cloud infrastructure. Provides consulting support from solution architects.,Pre-seed | Seed | Series A | Series B,Global | Europe,Cloud | Infrastructure,https://www.scaleway.com/en/startup-program/,https://www.scaleway.com/en/startup-program/,2026-02-14,false,true,false,false,
sendgrid-for-startups,sendgrid-for-startups,SendGrid,SendGrid startup email credits,SendGrid startup access is often available through partner ecosystems and cloud startup programs with messaging credits.,Direct startup offers may vary; many teams access credits through partner programs. Confirm current path before planning usage.,credit,Email credits via partner programs (program-dependent),,,Startups accepted into partner channels such as cloud startup programs.,Pre-seed | Seed | Series A,Global,Marketing | Developer Tools,https://sendgrid.com/en-us,https://sendgrid.com/en-us,2026-02-06,false,true,false,false,
sentry-for-startups,sentry-for-startups,Sentry,Sentry for Startups observability credits,Sentry for Startups offers qualifying companies access to discounted or credited observability tooling.,Benefit caps and access model can vary. Confirm the current startup offer on Sentry's official page.,credit,"Up to $50,000 in credits (program-dependent)",50000,USD,"Early-stage startups, generally through startup programs or approved ecosystem partners.",Pre-seed | Seed | Series A,Global,Developer Tools | Monitoring,https://sentry.io/for/startups/,https://sentry.io/for/startups/,2026-02-06,false,true,false,false,
siemens-startup,siemens-startup,Siemens,Siemens for Startups,Industrial IoT and automation for startups. Access Siemens' technology for industrial applications.,"Siemens for Startups supports early-stage companies developing solutions in industrial IoT, automation, and hardware. Get access to Siemens' technology, mentorship, and potential partnership opportunities.",credit,Program benefits vary,10000,,"Startups building industrial IoT, automation, or hardware products.",Pre-seed | Seed | Series A | Series B,Global | Europe | North America,Industrial | IoT | Hardware,https://www.siemens.com/startups,https://www.siemens.com/startups,2026-02-14,false,true,false,false,
singlestore-startup,singlestore-startup,SingleStore,SingleStore for Startups,High-performance distributed SQL database for modern applications. Build faster with real-time analytics.,"SingleStore provides a high-performance distributed SQL database that combines transactions and analytics in one engine. Perfect for startups building real-time applications, AI/ML pipelines, or streaming data workloads.",credit,Credits vary,10000,,Startups building applications requiring real-time analytics and high-performance database.,Pre-seed | Seed | Series A,Global,Database | Analytics,https://www.singlestore.com/pricing/,https://www.singlestore.com/pricing/,2026-02-14,false,true,false,false,
slack-for-startups,slack-for-startups,Slack,Slack for Startups collaboration credits,Slack startup benefits can include credits toward paid collaboration plans via approved startup programs.,Benefit levels and durations vary by program source. Confirm current Slack startup terms before signup.,credit,Credits toward paid plans (program-dependent),,,Early-stage startups in eligible startup ecosystems or partner programs.,Pre-seed | Seed | Series A,Global,Collaboration | Productivity,https://slack.com/,https://slack.com/,2026-02-06,false,true,false,false,
snowflake-startup,snowflake-startup,Snowflake,Snowflake for Startups,Enterprise-grade data cloud for startups. Power the next generation of AI applications with scalable data infrastructure.,"Snowflake for Startups provides enterprise-grade scalability, powerful native-AI capabilities, and direct access to a global network of customers, investors, and partners. Register your interest to join thousands of startups powering their growth with Snowflake.",credit,Credits vary,20000,,Early-stage startups building data-intensive applications or AI products.,Pre-seed | Seed | Series A | Series B,Global,Data | Analytics | AI,https://www.snowflake.com/en/why-snowflake/startup-program/,https://www.snowflake.com/en/why-snowflake/startup-program/,2026-02-14,false,true,false,false,
snyk-for-startups,snyk-for-startups,Snyk,Snyk for Startups security scanning benefits,Snyk startup offerings can provide free or discounted security scanning access for early product teams.,Plan limits and included features vary by program. Confirm current startup terms with Snyk before planning long-term usage.,discount,Free security scanning tier (program-dependent),,,Early-stage startups through direct startup qualification or approved partner channels.,Pre-seed | Seed | Series A,Global,Security | Developer Tools,https://snyk.io/,https://snyk.io/,2026-02-06,false,true,false,false,
statsig-startup,statsig-startup,Statsig,Statsig for Startups,"$50,000+ in free credits for product experimentation. Feature flags, A/B testing, and analytics at scale.","Statsig for Startups provides $50,000+ in credits including 1B events free and full access to Enterprise Tier for 12 months. Ship, test, and analyze product features without tool sprawl.",credit,"$50,000+ credits",50000,,"Early-stage startups needing product experimentation, feature flags, and analytics tools.",Pre-seed | Seed | Series A,Global,Analytics | Developer Tools | Product,https://www.statsig.com/startups,https://www.statsig.com/startups,2026-02-14,false,true,false,false,
stripe-atlas-partner-perks,stripe-atlas-partner-perks,Stripe Atlas,Stripe Atlas partner perks bundle,Stripe Atlas founders can access partner perk bundles with credits and discounts across startup software vendors.,Perks depend on active partner catalog and may change over time. Confirm exact offers in the current Atlas dashboard.,mixed,Partner credits and discounts after incorporation,,,New founders who complete incorporation through Stripe Atlas and meet partner-specific criteria.,Bootstrapped | Pre-seed | Seed,Global,Fintech | Legal,https://stripe.com/atlas,https://stripe.com/atlas,2026-02-06,false,true,false,false,
stripe-climate-partner-credits,stripe-climate-partner-credits,Stripe Climate,Stripe Climate partner fee discounts,Stripe Climate participation can include program-linked incentives and fee discount opportunities for eligible users.,Discount mechanics and incentive terms are program-specific. Confirm current eligibility and fee impact before enrollment.,discount,Fee discounts when enrolled (program-dependent),,,Companies using Stripe and participating in eligible Climate or partner initiatives.,Bootstrapped | Pre-seed | Seed | Series A,Global,Fintech | Climate,https://stripe.com/climate,https://stripe.com/climate,2026-02-06,false,true,false,false,
supabase-for-startups,supabase-for-startups,Supabase,Supabase for Startups credits and support,Supabase offers startup support programs that may include credits and onboarding benefits for early teams.,Credit size and terms can vary by partner and period. Verify active program details before applying.,credit,"Up to $25,000 in credits (program-dependent)",25000,USD,Startups in partner ecosystems or approved startup tracks.,Pre-seed | Seed | Series A,Global,Database | Developer Tools,https://supabase.com/,https://supabase.com/,2026-02-06,false,true,false,false,
timescale-startup,timescale-startup,Timescale,Timescale for Startups,PostgreSQL for time-series and analytics. Build faster with Timescale Cloud.,"Timescale is PostgreSQL for time-series, events, and analytics. Get the power of a relational database with the speed of a time-series database. Perfect for IoT, analytics, and event tracking workloads.",credit,Credits vary,5000,,Early-stage startups building time-series or analytics applications.,Pre-seed | Seed | Series A,Global,Database | Analytics,https://www.timescale.com/cloud/,https://www.timescale.com/cloud/,2026-02-14,false,true,false,false,
together-ai-startup,together-ai-startup,Together AI,Together AI startup program,"GPU inference credits for AI startups. Fast, affordable inference on open-source models with unified API.",Together AI provides instant access to state-of-the-art open-source models. Startups get fast inference with a unified API that makes it easy to switch between models and deploy at scale.,credit,GPU inference credits,10000,,AI startups building generative AI applications.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://together.ai/,https://together.ai/,2026-02-14,false,true,false,false,
twilio-segment-for-startups,twilio-segment-for-startups,Twilio Segment,Twilio Segment startup credits,Twilio Segment startup initiatives may provide credits for customer data and messaging infrastructure.,Specific credit amounts and services included may vary by track. Confirm details on current Twilio/Segment startup offers.,credit,"Up to $50,000 in credits (program-dependent)",50000,USD,Startups accepted through approved startup programs or partner channels.,Pre-seed | Seed | Series A,Global,Data | Marketing,https://segment.com/,https://segment.com/,2026-02-06,false,true,false,false,
typeform-for-startups,typeform-for-startups,Typeform,Typeform for Startups form plan discounts,Typeform startup offers may include free periods or discounted plans for form and survey workflows.,Offer terms and plan limits vary over time. Check current startup benefits before committing.,discount,Free or discounted plans (program-dependent),,,Early-stage startups through startup partner programs or direct startup qualification.,Pre-seed | Seed | Series A,Global,Product | Marketing,https://www.typeform.com/typeform-startups,https://www.typeform.com/,2026-02-06,false,true,false,false,
vanta-startup,vanta-startup,Vanta,Vanta for Startups,"Automated security compliance for startups. The fastest path to SOC 2, ISO 27001, and other certifications.","Vanta automates evidence collection for security compliance. Startups can achieve SOC 2, ISO 27001, HIPAA, and more with automated monitoring and streamlined audits.",discount,Startup pricing available,2000,,Early-stage startups pursuing security compliance certifications.,Pre-seed | Seed | Series A,Global,Security | Compliance,https://www.vanta.com/solutions/startup,https://www.vanta.com/solutions/startup,2026-02-14,false,true,false,false,
vast-ai-startup,vast-ai-startup,Vast.ai,Vast.ai startup program,"$2,500 in free GPU credits for AI startups. Distributed AI infrastructure with competitive pricing.","Vast.ai offers $2,500 in free GPU credits for startups that move their AI workloads to Vast.ai. Get access to distributed GPU infrastructure with flexible pricing options.",credit,"$2,500 GPU credits",2500,,AI startups looking to move GPU workloads to Vast.ai infrastructure.,Pre-seed | Seed | Series A,Global,AI | Cloud | Infrastructure,https://vast.ai/,https://vast.ai/article/vast-ai-startup-program,2026-02-14,true,true,false,false,
vercel-for-startups,vercel-for-startups,Vercel,Vercel for Startups platform credits,Vercel for Startups provides startup-focused platform credits and support through partner ecosystems.,Benefit amounts and eligibility can vary by partner and cohort. Confirm current terms before applying.,credit,"Up to $200,000 in platform credits (program-dependent)",200000,USD,"Early-stage startups, typically through approved startup partners, incubators, or VC programs.",Pre-seed | Seed | Series A,Global,Cloud | Developer Tools,https://vercel.com/startups,https://vercel.com/startups,2026-02-06,false,true,false,false,
warp-startup,warp-startup,Warp,Warp for Startups,AI-powered terminal for startups. Build faster with the terminal built for the AI era.,"Warp is the AI-powered terminal that helps developers build faster. Features include AI command generation, reusable workflows, and seamless team collaboration.",discount,Startup pricing,1200,,Early-stage startups needing modern terminal experience.,Pre-seed | Seed | Series A,Global,Developer Tools,https://warp.dev/pricing,https://warp.dev/pricing,2026-02-14,false,true,false,false,
weaviate-for-startups,weaviate-for-startups,Weaviate,Weaviate for Startups vector search credits,Weaviate startup programs can include cloud credits and onboarding support for vector search applications.,Credits and usage limits can vary by program and region. Verify current startup terms on official Weaviate channels.,credit,Cloud credits (program-dependent),,,Early-stage startups building AI/search products and meeting startup program criteria.,Pre-seed | Seed | Series A,Global,AI | Search,https://weaviate.io/,https://weaviate.io/,2026-02-06,false,true,false,false,
webflow-for-startups,webflow-for-startups,Webflow,Webflow for Startups workspace discounts,Webflow startup support can include free or discounted workspace and publishing plans for early teams.,Offer structure may vary by startup partner and region. Confirm current program details before applying.,discount,Free or discounted workspace plans (program-dependent),,,Eligible startups through partner ecosystems or direct startup programs.,Pre-seed | Seed | Series A,Global,Design | Marketing,https://webflow.com/,https://webflow.com/,2026-02-06,false,true,false,false,
whimsical-startup,whimsical-startup,Whimsical,Whimsical for Startups,"Free 12 months of Whimsical for startups. Everything your startup needs to think, plan, and build—faster.","Whimsical is the hub for visual collaboration, where great ideas take shape. Combine whiteboarding, diagramming, and wireframing with documentation to go from brainstorming and prototypes to live products. Startups backed by partners get up to 12 months of Pro for free.",discount,12 months free (6 months if revenue > $1M),1000,,"Startups backed by Whimsical partners. Revenue under $1M gets 12 months free, under 50 employees, new customer.",Pre-seed | Seed | Series A,Global,Productivity | Design | Collaboration,https://whimsical.com/startups,https://whimsical.com/startups,2026-02-14,false,true,false,false,
wiz-startup,wiz-startup,Wiz,Wiz for Startups,Cloud security platform for startups. Find and fix cloud security risks in minutes.,"Wiz provides cloud security for startups, helping find and fix security risks across your cloud environment. Get enterprise-grade cloud security posture management (CSPM) without the enterprise complexity.",credit,Startup credits,10000,,Early-stage startups building on cloud infrastructure needing security.,Pre-seed | Seed | Series A,Global,Security | Cloud,https://www.wiz.io/lp/startups,https://www.wiz.io/lp/startups,2026-02-14,false,true,false,false,
workos-startup,workos-startup,WorkOS,WorkOS for Startups,"Enterprise-grade identity and auth for startups. Modern SSO, SAML, and directory sync at startup-friendly pricing.","WorkOS provides startups with enterprise-ready identity features including SSO, SAML, Directory Sync, and more. Build enterprise features without the enterprise complexity.",discount,Startup pricing available,2000,,Early-stage startups needing enterprise auth features.,Pre-seed | Seed | Series A,Global,Developer Tools | Security,https://workos.com/startups,https://workos.com/startups,2026-02-14,false,true,false,false,
zoom-for-startups,zoom-for-startups,Zoom,Zoom for Startups communication discounts,Zoom startup-focused offerings can include discounted or free licenses through approved startup channels.,License counts and discount duration vary. Verify current startup terms with Zoom before relying on this offer.,discount,Discounted or free licenses (program-dependent),,,"Eligible startups, frequently through startup partner ecosystems.",Pre-seed | Seed | Series A,Global,Collaboration | Support,https://www.zoom.com/,https://www.zoom.com/,2026-02-06,false,true,false,false,
